"qualifying","position","displayName","nflId_def","routes","eps_tracking_w_penalties","eps_tracking","normalized_avg_max_epa","penalties_and_time_to_throw_normalized_tracking_epa","penalities_count","tracking_penalty_perc","penalties_eps"
1,"FS","Lamarcus Joyner",2543492,46,1.56882527799346,1.49532185643438,0.219646797314669,0.219646797314669,0,0,0
1,"SS","Micah Hyde",2539240,48,1.55917163253134,1.48247241003491,0.231038129183019,0.231038129183019,0,0,0
1,"FS","Adrian Amos",2552385,59,1.47897824671354,1.38470211906168,0.2784443108231,0.2784443108231,0,0,0
1,"SS","Tavon Wilson",2534830,42,1.4726312453521,1.40551942566773,0.214168626300315,0.214168626300315,0,0,0
1,"SS","Sharrod Neasman",2556443,42,1.42893381723488,1.3618219975505,0.219583088561851,0.219583088561851,0,0,0
1,"CB","Jourdan Lewis",2557920,84,1.39859139832296,1.26436775895421,0.330564711614027,0.330564711614027,0,0,0
1,"SS","Michael Thomas",2535687,64,1.36171515079222,1.25944952079698,0.301630220346455,0.301630220346455,0,0,0
1,"FS","Harrison Smith",2532948,46,1.33634837971605,1.26284495815697,0.253113329706047,0.253113329706047,0,0,0
1,"CB","Jalen Mills",2555383,77,1.24402829848382,1.12098996239579,0.329947760595825,0.329947760595825,0,0,0
1,"SS","Kentrell Brice",2556480,36,1.24342966321981,1.18590524634749,0.217613216643744,0.217613216643744,0,0,0
1,"CB","Aqib Talib",1302,58,1.03064479961474,0.937966572431554,0.323541760312842,0.323541760312842,0,0,0
1,"SS","Shawn Williams",2539233,58,1.02984769695832,0.937169469775131,0.324324022866464,0.324324022866464,0,0,0
1,"CB","Chidobe Awuzie",2557840,138,1.02957714028638,0.809066875609145,0.373270197359058,0.373270197359058,0,0,0
1,"FS","Will Parks",2556278,33,1.01853948211034,0.965808766644048,0.238591623163749,0.238591623163749,0,0,0
1,"CB","Nick Nelson",2560819,81,0.985932238766819,0.856502300804093,0.341530172860839,0.341530172860839,0,0,0
1,"CB","Tramaine Brock",2507917,60,0.956711368992998,0.860837340872459,0.312039517872541,0.312039517872541,0,0,0
1,"FS","Ha Ha Clinton-Dix",2543470,47,0.955083703501594,0.879982381473839,0.309061061274254,0.309061061274254,0,0,0
1,"FS","Curtis Riley",2553822,61,0.955055482101212,0.857583553511998,0.338241819784219,0.338241819784219,0,0,0
1,"CB","B.W. Webb",2539338,162,0.938805557335848,3.29477300434236,0.294345956449307,0.308607712813568,1,0.00613496932515337,-2.61901224382384
1,"CB","A.J. Bouye",2541162,124,0.928072828864348,1.16641260241329,0.358420700624452,0.356198375502206,2,0.0158730158730159,-0.436828435845905
1,"FS","Glover Quin",71441,52,0.921793427328136,0.838702602957002,0.324915334107197,0.324915334107197,0,0,0
1,"SS","Bradley McDougald",2539243,87,0.920114751706901,0.78109741093212,0.318405568234415,0.318405568234415,0,0,0
1,"CB","Trumaine Johnson",2532877,139,0.897791337830583,0.675683172684669,0.374010265646267,0.374010265646267,0,0,0
1,"CB","Rasul Douglas",2558168,105,0.871704637724348,0.703925088513406,0.37369859747684,0.37369859747684,0,0,0
1,"CB","Parry Nickerson",2560822,94,0.83406995981462,0.683867315759109,0.374401965576476,0.374401965576476,0,0,0
1,"CB","Darius Slay",2540288,116,0.822136732930955,3.18177696141408,0.247351867631066,0.264744476945545,2,0.0169491525423729,-2.54703163437065
1,"CB","Shareece Wright",2495251,125,0.816739788756749,0.617002230172293,0.377174116794592,0.377174116794592,0,0,0
