"qualifying","position","displayName","nflId_def","targets","completions","interceptions","completion_perc","interception_perc","e_comp_perc","e_int_perc","completions_saved","completions_saved_per_target","interceptions_created","interceptions_created_per_target","expected_epa","actual_epa","epa_pass_arrived_avg","epa_result_avg","eps_saved_ball_skills","eps_saved_ball_skills_per_target","eps_int_returns","ball_skills_penalties","avg_ball_skills_penalties_eps","PB","eps_saved_ball_skills_per_target_w_penalties","eps_saved_ball_skills_w_penalties","hands_on_ball_plays","hands_on_ball_rate"
1,"CB","Mackensie Alexander",2555177,10,7,0,0.7,0,0.820002739,0.036542546113,1.20002739,0.120002739,-0.36542546113,0.120002739,-1.87820852754282,-3.7583829667852,-0.187820852754282,-0.37583829667852,1.88017443924239,0.188017443924239,0,0,0,1,0.188017443924239,2.01599518716656,1,0.1
1,"MLB","Joe Schobert",2555166,8,5,0,0.625,0,0.76393848125,0.014040990875,1.11150785,0.13893848125,-0.112327927,0.13893848125,-0.476746106738112,-2.36696448397985,-0.059593263342264,-0.295870560497482,1.89021837724174,0.236277297155218,0,0,0,0,0.236277297155218,1.99887497558108,0,0
1,"SS","Daniel Sorensen",2550257,7,4,1,0.571428571428571,0.142857142857143,0.697773347142857,0.0268127400428571,0.88441343,0.126344775714286,0.8123108197,0.126344775714286,1.13000341929933,-0.755404280528024,0.161429059899904,-0.107914897218289,1.88540769982735,0.269343957118193,4.30594799097876,0,0,1,0.269343957118193,1.98048222337427,2,0.285714285714286
1,"CB","Shareece Wright",2495251,10,8,0,0.8,0,0.874140473,0.003329287609,0.741404729999999,0.0741404729999999,-0.03329287609,0.0741404729999999,4.5684603926693,2.76083962745354,0.45684603926693,0.276083962745354,1.80762076521576,0.180762076521576,0,0,0,1,0.180762076521576,1.94344151313994,1,0.1
1,"FS","Jimmie Ward",2543741,4,3,0,0.75,0,0.8173113375,0.0065429998925,0.26924535,0.0673113375000001,-0.02617199957,0.0673113375000001,2.16208499155145,0.289638636677877,0.540521247887863,0.0724096591694693,1.87244635487358,0.468111588718394,0,0,0,0,0.468111588718394,1.92677465404325,0,0
1,"CB","Janoris Jenkins",2532875,22,18,1,0.818181818181818,0.0454545454545455,0.808352281090909,0.0209324524527273,-0.216249816000001,-0.00982953709090915,0.53948604604,-0.00982953709090915,11.7063340027826,9.92440573406901,0.532106091035574,0.451109351548591,1.78192826871363,0.0809967394869831,1.21776115242659,1,-0.185885481320127,0,0.0693931646692827,1.90843050761911,1,0.0434782608695652
1,"CB","M.J. Stewart",2560884,7,7,0,1,0,0.894461995714286,0.000822045905714286,-0.73876603,-0.105538004285714,-0.00575432134,-0.105538004285714,-0.162938909404764,-1.96346669242662,-0.0232769870578234,-0.280495241775232,1.80052778302186,0.257218254717408,0,0,0,0,0.257218254717408,1.89560230656878,0,0
1,"CB","Captain Munnerlyn",80668,10,8,0,0.8,0,0.874828772,0.003488374776,0.74828772,0.074828772,-0.03488374776,0.074828772,4.10242886877386,2.40993796055543,0.410242886877386,0.240993796055543,1.69249090821843,0.169249090821843,0,0,0,2,0.169249090821843,1.82831165614261,2,0.2
1,"ILB","Mason Foster",2495281,35,31,0,0.885714285714286,0,0.808845973714286,0.0118400979685714,-2.69039092,-0.076868312,-0.4144034289,-0.076868312,1.04620520282344,-0.249723436266576,0.0298915772235267,-0.00713495532190218,1.29592863909001,0.0370265325454289,0,0,0,1,0.0370265325454289,1.77130125682464,1,0.0285714285714286
1,"CB","Troy Hill",2553536,10,8,1,0.8,0.1,0.720677646,0.024394840925,-0.79322354,-0.079322354,0.75605159075,-0.079322354,0.960630627527615,-0.602829749805305,0.0960630627527615,-0.0602829749805305,1.56346037733292,0.156346037733292,1.04330328998036,0,0,1,0.156346037733292,1.6992811252571,2,0.2
1,"OLB","Jamie Collins",2539311,29,27,1,0.931034482758621,0.0344827586206897,0.818542483448276,0.0170881676296552,-3.26226798,-0.112491999310345,0.50444313874,-0.112491999310345,8.98238664390788,7.77534603902192,0.309737470479582,0.268115380655928,1.20704060488595,0.0416220898236535,-0.0334841222011093,0,0,0,0.0416220898236535,1.60092077386607,1,0.0344827586206897
1,"SS","Damontae Kazee",2558184,5,4,0,0.8,0,0.754880988,0.02393317262,-0.22559506,-0.0451190120000001,-0.1196658631,-0.0451190120000001,2.25844592864092,0.753746001910733,0.451689185728183,0.150749200382147,1.50469992673018,0.300939985346037,0,0,0,1,0.300939985346037,1.57261030069227,1,0.2
1,"OLB","Whitney Mercilus",2533049,7,6,0,0.857142857142857,0,0.894575747142857,0.00139507215857143,0.262030230000001,0.0374328900000001,-0.00976550511,0.0374328900000001,2.77212770268107,1.45076338215666,0.396018243240153,0.207251911736666,1.32136432052441,0.188766331503488,0,0,0,0,0.188766331503488,1.41643884407134,0,0
1,"FS","Eric Murray",2555173,10,8,0,0.8,0,0.724051131,0.028591218686,-0.75948869,-0.0759488689999999,-0.28591218686,-0.0759488689999999,6.11140548900475,4.84118700318205,0.611140548900475,0.484118700318205,1.27021848582269,0.127021848582269,0,0,0,1,0.127021848582269,1.40603923374687,1,0.1
1,"SS","Reshad Jones",496739,13,9,1,0.692307692307692,0.0769230769230769,0.720990192615385,0.05386089497,0.372872504,0.0286825003076923,0.29980836539,0.0286825003076923,5.28820658260573,4.09015950106217,0.406785121738902,0.314627653927859,1.19804708154355,0.0921574678110426,4.13327372042458,0,0,2,0.0921574678110426,1.37461405384499,3,0.230769230769231
1,"CB","Daryl Worley",2555394,9,5,0,0.555555555555556,0,0.654783707777778,0.0509243332,0.89305337,0.0992281522222222,-0.4583189988,0.0992281522222222,4.47440158691171,3.22845868136065,0.497155731879079,0.358717631262294,1.24594290555106,0.138438100616784,0,0,0,2,0.138438100616784,1.36818157868282,2,0.222222222222222
1,"LB","Leighton Vander Esch",2560908,25,22,0,0.88,0,0.8713323892,0.00562802786228,-0.216690270000001,-0.00866761080000003,-0.140700696557,-0.00866761080000003,8.11435276840735,7.1154025782699,0.324574110736294,0.284616103130796,0.998950190137454,0.0399580076054982,0,0,0,1,0.0399580076054982,1.3385020599479,1,0.04
1,"CB","Fabian Moreau",2558136,11,8,0,0.727272727272727,0,0.740861787272727,0.0389695951418182,0.149479659999999,0.0135890599999999,-0.42866554656,0.0135890599999999,5.50677274341705,4.36039265278934,0.500615703947004,0.396399332071759,1.14638009062771,0.104216371875246,0,0,0,2,0.104216371875246,1.2957829133443,2,0.181818181818182
1,"ILB","Danny Trevathan",2532961,19,13,0,0.684210526315789,0,0.809629823684211,0.00822240177947368,2.38296665,0.125419297368421,-0.15622563381,0.125419297368421,6.75592654042015,5.75962734508735,0.355575081074745,0.303138281320387,0.996299195332798,0.0524367997543578,0,0,0,2,0.0524367997543578,1.25435861638874,2,0.105263157894737
1,"SS","Rafael Bush",2507817,11,10,0,0.909090909090909,0,0.87615267,0.00563190655545455,-0.362320629999999,-0.032938239090909,-0.06195097211,-0.032938239090909,4.50128603395157,3.42842771371741,0.409207821268325,0.311675246701583,1.07285832023416,0.0975325745667417,0,0,0,0,0.0975325745667417,1.22226114295076,0,0
1,"LB","Rashaan Evans",2560718,4,3,0,0.75,0,0.883756325,0.00618237645,0.5350253,0.133756325,-0.0247295058,0.133756325,4.33028027924279,3.21247629992994,1.0825700698107,0.803119074982485,1.11780397931285,0.279450994828212,0,0,0,1,0.279450994828212,1.17213227848252,1,0.25
1,"CB","Jourdan Lewis",2557920,8,6,1,0.75,0.125,0.713355513125,0.065159992735,-0.293155895,-0.036644486875,0.47872005812,-0.036644486875,-4.51814638419118,-5.49557336082739,-0.564768298023898,-0.686946670103423,0.977426976636204,0.122178372079526,0.0773396103812551,0,0,0,0.122178372079526,1.08608357497555,1,0.125
1,"OLB","Christian Kirksey",2543720,8,7,0,0.875,0,0.9134670425,0.00119404911,0.30773634,0.0384670425,-0.00955239288,0.0384670425,2.52531589123873,1.90320053030921,0.315664486404841,0.237900066288652,0.622115360929518,0.0777644201161898,0,1,0.340774686182189,1,0.106987783012412,1.08512872024347,1,0.111111111111111
1,"CB","A.J. Bouye",2541162,12,11,0,0.916666666666667,0,0.836476826666667,0.00993129860416667,-0.962278080000001,-0.0801898400000001,-0.11917558325,-0.0801898400000001,3.6914494289497,2.84210406090771,0.307620785745808,0.236842005075643,0.849345368041987,0.0707787806701656,0,0,0,0,0.0707787806701656,1.012330265551,0,0
1,"CB","Tramaine Brock",2507917,5,4,0,0.8,0,0.827245358,0.014619186834,0.13622679,0.0272453580000001,-0.07309593417,0.0272453580000001,1.28718177226212,0.652943514291796,0.257436354452424,0.130588702858359,0.634238257970326,0.126847651594065,0,1,0.239402730339415,0,0.145606831384957,0.955133437064248,0,0
1,"CB","Bashaud Breeland",2543571,7,6,1,0.857142857142857,0.142857142857143,0.762689282857143,0.0244775334257143,-0.66117502,-0.0944535742857143,0.82865726602,-0.0944535742857143,1.35849022104622,-0.90232985603337,0.194070031578031,-0.128904265147624,2.26082007707959,0.322974296725655,0.613658389182296,1,-1.42137674422163,0,0.104930416607245,0.948099931197306,1,0.125
1,"FS","Jabrill Peppers",2557980,17,14,0,0.823529411764706,0,0.735084288823529,0.0311803740276471,-1.50356709,-0.0884451229411765,-0.53006635847,-0.0884451229411765,11.4550091108199,10.7437864892848,0.673824065342345,0.631987440546163,0.711222621535091,0.0418366247961818,0,0,0,1,0.0418366247961818,0.942117893006196,1,0.0588235294117647
1,"CB","Xavier Rhodes",2540155,14,14,0,1,0,0.906177085,0.00428846613214286,-1.31352081,-0.093822915,-0.06003852585,-0.093822915,7.05652596161554,6.31098479136233,0.504037568686824,0.450784627954452,0.745541170253217,0.0532529407323726,0,0,0,0,0.0532529407323726,0.935690217347068,0,0
