"nflId_def","Pos","Player","G","Pass Snaps","%Zone","Zone EPS","Zone EPS Per Game","Zone EPS Per Cover","Zone EPS Closing","Zone EPS Ball Skills","Zone EPS Tackling","Zone EPS Ball Hawk","Zone EPS INT Returns","SOS Zone EPS","SOS Zone EPS Per Game","SOS Zone EPS Per Cover","SOS Zone EPS Closing","SOS Zone EPS Ball Skills","SOS Zone EPS Tackling","Covers","Accurate TAR","C","Targeted C%","INT","Ball Hawk INT","PB","Ball Hawk PB","Hands on Ball % of Targets","Hands on Ball % of Plays","T","FF","Penalties"
2560952,"CB","Jaire Alexander (GB)",13,435,0.43,-6.49,-0.5,-0.04,-1.81,2.47,-5.44,-1.92,0.21,-5.12,-0.39,-0.03,-1.63,3.29,-5.07,166,16,12,0.75,1,0,2,1,0.19,0.02,9.5,0,1
2557855,"MLB","Jarrad Davis (DET)",16,548,0.89,-6.49,-0.41,-0.02,2.09,-0.75,-5.73,-2.11,0,-5.77,-0.36,-0.02,1.77,-0.11,-5.32,262,19,17,0.89,0,0,2,2,0.11,0.02,15.5,0,0
2552312,"MLB","Eric Kendricks (MIN)",13,442,0.78,-6.51,-0.5,-0.03,-0.33,-0.74,-2.63,-2.81,0,-6.05,-0.47,-0.03,-0.8,-1.13,-1.32,227,17,13,0.76,0,0,2,0,0.12,0.01,5.5,0,0
2558248,"FS","Chuck Clark (BAL)",13,169,0.81,-6.59,-0.51,-0.08,-2.48,-1.92,-0.9,-1.29,0,-5.77,-0.44,-0.07,-2.42,-1.33,-0.72,78,5,5,1,0,0,0,0,0,0,3,0,0
2543830,"FS","Tre Boston (ARI)",14,502,0.93,-6.64,-0.47,-0.03,-0.5,0.27,-1.66,-4.75,0,-4.28,-0.31,-0.02,-0.07,1.73,-1.19,239,16,8,0.5,0,0,5,0,0.31,0.02,5,0,0
2558009,"FS","Budda Baker (ARI)",14,491,0.53,-6.71,-0.48,-0.03,-1.81,-6.19,3.56,-2.27,0,-3.91,-0.28,-0.02,-1.06,-4.66,4.08,200,18,17,0.94,0,0,0,0,0,0,11.5,1,0
2556567,"S","Isaiah Johnson (TB)",12,220,0.9,-6.81,-0.57,-0.07,-4.1,-4.36,0.55,1.58,-0.48,-5.63,-0.47,-0.06,-3.93,-4.01,1.22,99,9,9,1,0,1,0,0,0,0.01,6,0,0
2543872,"CB","Nevin Lawson (DET)",15,488,0.39,-6.96,-0.46,-0.04,0.18,-2.35,-2.82,-1.97,0,-6.74,-0.45,-0.04,0.42,-3.02,-2.16,164,16,13,0.81,0,0,2,0,0.12,0.01,7,0,0
2543492,"FS","Lamarcus Joyner (LA)",15,524,0.96,-6.96,-0.46,-0.03,-1.33,-1.29,-0.62,-3.23,-0.49,-5.42,-0.36,-0.02,-1.04,-0.2,-0.46,245,10,8,0.8,0,1,1,0,0.1,0.01,6,0,0
2552434,"CB","Bobby McCain (MIA)",14,426,0.41,-7.01,-0.5,-0.04,-1.3,-3.84,0,-1.72,-0.16,-7.06,-0.5,-0.04,-1.18,-4.43,0.43,158,17,15,0.88,1,0,0,1,0.06,0.01,9,0,0
