"qualifying","position","displayName","nflId_def","qualifying_routes","distinct_routes","route_normalized_eps_per_route"
0,"SS","Justin Reid",2560851,45,6,-0.184502794338528
0,"SS","Reshad Jones",496739,29,5,-0.18890356230023
0,"FS","Antone Exum",2543680,40,7,-0.189775712001188
0,"FS","Marcell Harris",2561006,30,6,-0.203954165328141
0,"CB","Blidi Wreh-Wilson",2539219,7,2,-0.204243528299957
0,"SS","Adrian Phillips",2550842,101,9,-0.205333126491511
0,"S","Jessie Bates",2560970,33,6,-0.205506348622429
0,"CB","Mike Tyson",2558853,5,1,-0.212273863506065
0,"CB","Taron Johnson",2560766,109,9,-0.23008845998796
0,"SS","Sean Davis",2555386,23,5,-0.249807180396172
0,"SS","Rafael Bush",2507817,119,9,-0.253635537253995
0,"FS","J.J. Wilcox",2540219,4,1,-0.267790474532582
0,"SS","Matthias Farley",2556429,5,1,-0.27049786273286
0,"SS","Micah Hyde",2539240,33,5,-0.27844970725459
0,"DB","D.J. Reed",2560850,44,6,-0.282308625711505
0,"CB","Corn Elder",2558171,7,1,-0.42625159735318
0,"CB","Marcus Williams",2558847,14,3,-0.465270369411064
0,"FS","Marcus Williams",2558847,14,3,-0.465270369411064
0,"FS","Andre Hal",2543874,11,3,-0.562798258754716
0,"SS","Jarrod Wilson",2556711,3,1,-0.578344228673824
0,"SS","Damontae Kazee",2558184,7,2,-0.592840753072908
0,"CB","Derrick Jones",2558819,3,1,-0.731064168523721
0,"SS","Blake Countess",2556374,3,1,-0.739471394564818
