"position","displayName","nflId_def","eps_tot_sos_adj","eps_zone_sos_adj","eps_man_sos_adj","eps_zone_closing_sos_adj","eps_zone_ball_skills_sos_adj","eps_zone_tackling_sos_adj","eps_man_tracking_sos_adj","eps_man_closing_sos_adj","eps_man_ball_skills_sos_adj","eps_man_tackling_sos_adj","expected_eps_tot","expected_eps_zone","expected_eps_man","man_tracking_expected_eps","expected_closing_eps_zone","expected_closing_eps_man","expected_ball_skills_eps_zone","expected_ball_skills_eps_man","expected_tackling_eps_zone","expected_tackling_eps_man"
"LB","Leon Jacobs",2560758,-2.06087194185985,-1.28261043356788,-0.778261508291966,0.384891007829045,-1.49516193019247,0,-0.708213243851123,0.290575462721444,-0.381102066910937,0.0719630517268169,0.210090218569955,0.0360982088753231,0.173992009694632,-0.092756045606485,0.0266892113552818,0.121004756462883,0.00940899752004133,0.0483391955048376,0,0.0974041033333961
"OLB","Barkevious Mingo",2540140,-2.11919089485749,-2.67456807880576,0.55537718394827,0.38138638662377,-0.975589954260594,-0.841674274386903,-0.431943330224108,-0.171579985057252,2.00095451002329,-0.755173559330506,-0.755130766354537,-0.129595062160174,-0.625535704194362,-0.0726382316158111,0.121759334103088,0.171579985057252,0.123020936824255,-0.585931602764282,-0.374375333087517,-0.138545854871521
"OLB","Jordan Jenkins",2555256,-2.14209713619564,-2.69288508952427,0.550787953328624,0.642534433491657,-0.811786270896626,-2.14664057135955,-0.00734106325890992,0.584301665488416,-0.00471490367830166,-0.0214577452225799,0.275935105572716,0.220511031280558,0.0554240742921578,0.00839294996492227,-0.0373742925768874,0.020858475426354,0.0619227096755231,0.00471490367830166,0.195962614181922,0.0214577452225799
"ILB","Matthew Adams",2561149,-2.15113298692025,-1.64089043895935,-0.510242547960901,-0.125210361972393,-0.654165637333537,-0.506064197794227,-0.419178410734101,0.0444590308170057,-0.28209064172366,0.198052185658022,-0.340438372936935,0.0759095915912891,-0.416347964528224,-0.1740692386468,0.0125257917874705,-0.157143601001929,0.0167927207392369,0.169689762037072,0.0465910790645817,-0.254824886916568
"OLB","Josh Keyes",2553719,-2.18145633625372,-1.54936527637379,-0.632091059879921,-0.572122015391823,-0.821030330243172,-0.0269582973354552,-0.0376713973686887,-0.594419662511233,0,0,0.163396382087056,0.162949464342715,0.000446917744341472,0.000446917744341472,-0.0222976471194101,0,0.17700765706557,0,0.00823945439655469,0
"CB","Kendall Fuller",2555349,-2.18654908138049,-6.46530686284409,4.2787577814636,0.620349860660433,-4.93434991202565,-0.530161925798358,-2.70730168606285,1.67053027767375,4.19694592124511,-0.349587225203207,-3.97097577048003,-0.907438808772076,-3.06353696170795,0.367523551768459,-0.166523678779852,-1.21670409579317,0.0369967963871473,-1.62556445188018,-0.777911926379372,-0.588791965803063
"ILB","Daren Bates",2541539,-2.26882779527355,0.0637037331669679,-2.33253152844051,0.176812999136896,-0.101026794811875,0.181799478946961,0.0209677200958598,-0.0104038108340967,-0.494061932658592,-1.83294453255051,-0.023999981559879,0.017648451916596,-0.041648433476475,-0.00989083220157219,0,0.187216809970993,0.00940899752004133,-0.185536158625684,0.00823945439655469,-0.0334382526202113
"CB","Leonard Johnson",2532878,-2.27767228909809,-0.209413292250508,-2.06825899684758,0.356675554753869,0.258802431488313,-0.555610792235726,-1.18063446244726,0.453277976007149,-1.82229567312774,0.565055819684791,-0.99297387965205,-0.760422177043422,-0.232551702608628,0.040412772002355,-0.00711819995878302,-0.103720621212063,-0.107359693610945,-0.223497098551986,-0.645944283473694,0.054253245153066
"CB","Walt Aikens",2543724,-2.29405128891877,0,-2.29405128891877,0,0,0,-0.0934477103822634,-0.0266892113552818,-1.73757872418776,-0.42024667050028,0.0813857918553066,0,0.0813857918553066,0.0370481285834287,0,0.0266892113552818,0,0.00940899752004133,0,0.00823945439655469
"FS","Kemal Ishmael",2541431,-2.35403888707107,0,-2.35403888707107,0,0,0,-0.190957319611581,-0.0751711324660115,-2.2588267023232,0.187005239822903,-0.0206619839059142,0,-0.0206619839059142,-0.0232213575364817,0,0.0751711324660115,0,0.102483370290815,0,-0.175095129126259
"DB","Keion Crossen",2561157,-2.38016967641846,0,-2.38016967641846,0,0,0,-0.312796355651039,0.11879398406505,-2.29642610383038,0.181050277967889,-0.0326328590781252,0,-0.0326328590781252,0.0283155291125378,0,-0.11879398406505,0,0.274195137034051,0,-0.216349541159664
"MLB","Mark Nzeocha",2552684,-2.38931122281153,-0.535499369294517,-1.85381185351701,0.0757072548570332,-0.217165127759607,-0.081676132333865,-0.410352634655171,0.00145309059493622,-0.216945157987144,-1.19578920648328,0.272921835236085,0.0525771176684325,0.220344717567653,-0.0450392703358599,0.0266892113552818,0.100943375617379,0.00940899752004133,0.199267588429477,0.0164789087931094,-0.0348269761433436
"FS","D.J. Swearinger",2539943,-2.42152417057646,2.55502388913847,-4.97654805971493,-0.604068216547852,2.05378420174483,-3.7299422635995,-3.61106170486088,-0.121252289930846,-0.0885251189493409,-0.914374358576202,-0.766202037421287,-0.339907429975837,-0.42629460744545,-0.297109446565887,0.0877695545794258,0.121252289930846,0.105684815725948,-0.178096873775323,-0.533361800281211,-0.0723405770350858
"FS","Duron Harmon",2541243,-2.46988743401201,5.04371078680704,-7.51359822081906,0.112896641970621,-0.75354841876672,-0.441534489742894,-1.11288012186896,0.171777674256418,-3.89251579027205,-2.65101983244674,-1.3249719948477,-0.205462352857504,-1.11950964199019,-0.032240836706906,0.0266892113552818,-0.171777674256418,0.33414601781051,-0.426159686452282,-0.566297582023296,-0.489331444574586
"ILB","Kamalei Correa",2555339,-2.50232296915214,-3.06797006609257,0.565647096940439,0.716168768879218,-0.682755978632169,-2.8644160284335,-0.00964834878240562,0.701544104168624,-0.0598279524658892,-0.0664207059798903,0.192919166562882,-0.00148163347441602,0.194400800037298,-0.0164336918193466,0.069961168700271,0.0845858334108655,0.108334890672944,0.0598279524658892,-0.179777692847631,0.0664207059798903
"LB","Oren Burks",2560984,-2.50786681881253,-2.31740472679758,-0.190462092014956,-0.566531345236091,-0.437539227482855,-0.936341473318885,-0.276752220186016,-0.649013961166684,0.712883609685411,0.0706873971318646,0.613712578058536,-0.000489086362981617,0.614201664421517,-0.0351385905830737,0.074254164262097,0.15673678019269,0.189858590909436,0.430287288662129,-0.264601841534515,0.0623161861497714
"CB","Cornell Armstrong",2561147,-2.5258217771426,0.590641989171134,-3.11646376631373,0.639000053880147,0.0749542756002958,0.0490271708951484,-0.394666640933834,0.843780052950251,-4.24171207502591,0.759797553660288,-0.746443440800249,-0.246819343135148,-0.4996240976651,0.0586612768014905,-0.200882767539548,-0.405662766609652,-0.054176029992155,0.339229792791191,0.00823945439655469,-0.491852400648129
"SS","Eddie Pleasant",2532928,-2.54228030595422,-5.48902998801282,2.9467496820586,3.21623550783054,-7.43429521713662,-0.829350281245324,0.0150116996150867,3.24169281584659,-0.0888683660930019,-0.204997494816901,-0.019147680229229,-0.063643432094273,0.044495751865044,-0.0396769679359619,0.0532141595565171,0.0277568515404746,-0.0744948661266928,-0.00313371625586045,-0.0423627255240974,0.0595495845163918
"OLB","Ramon Humber",2507644,-2.59679691578844,-2.57723218032496,-0.019564735463482,0.134656991039975,-1.08958284365543,-1.3745682803531,-0.0874293551761843,0.174464085478729,-0.154205750024564,0.0604774622530792,0.0365200502424738,0.0258879063131507,0.0106321439293231,0.00914330413444738,0,-0.0398070944387542,0.00940899752004133,0.0535536860808134,0.0164789087931094,-0.0122577518471835
"MLB","Hayes Pullard",2552313,-2.59682938232998,-2.35662194433244,-0.240207437997538,0.0176311804113264,-1.90651581034291,-0.144600730892501,-0.435449174869938,0.1952417368724,0,0,0.405231999088313,0.355099408241669,0.0501325908466441,0.0234433794913623,0.204299767816356,0.0266892113552818,0.0843064143436179,0,0.0664932260816952,0
"ILB","Zach Cunningham",2558094,-2.60209265976346,4.53757664242307,-7.13966930218653,-0.272453849827919,-1.37312888746937,-3.23813700021744,-2.54884929781891,-0.411083563128544,-1.94238045003488,-1.97671463681472,0.8599662086842,-0.240599499306941,1.10056570799114,-0.601973957834396,-0.0255998053430048,0.411083563128544,-0.0337641159747756,1.03665669753445,-0.18123557798916,0.254799405162543
"FS","Ha Ha Clinton-Dix",2543470,-2.6038855180375,-2.09484791198253,-0.50903760605497,1.62172550894734,-2.25110155359847,2.3288981057958,0.0561117381424018,0.0746232970628444,-1.33806875955668,0,-1.35444568749121,-1.11800304074489,-0.236442646746316,-0.211357905309844,-0.294018621582699,-0.0746232970628444,-1.22924195188657,0.049538555626372,0.405257532724374,0
"S","Terrell Edmunds",2560712,-2.63511369851044,-2.2882273839142,-0.346886314596234,-0.0864008251605841,1.04714122901514,-2.73493944884599,-0.981312099403415,-0.273371511283252,0.549668844737249,0.560849504767215,-2.03803581266793,-1.76199592765042,-0.276039885017513,-0.0601505715420353,-0.50317548406911,0.273371511283252,-0.871456895637368,-0.486976253285775,-0.38736354794394,-0.00228457147295472
"FS","Marcus Williams",2558847,-2.71733362214488,1.66632273236329,-4.38365635450817,-0.0070129620005321,-4.33363845894686,2.8054596876698,-2.15805481750651,0.0192137595469487,-2.21585514606089,0,-1.06986623095714,-0.610570853288812,-0.45929537766833,0.00444286730434778,-0.0557317399362386,-0.0192137595469487,-0.246665813529176,-0.444524485425729,-0.308173299823398,0
"DB","Tyvis Powell",2556655,-2.75255194582217,-1.14674091659023,-1.60581102923194,0.169959328442196,0.123548325194916,-1.06325588946759,-1.08178949444579,0.324091381767176,-0.803063793572434,0,-0.00569443380580158,-0.025260742132468,0.0195663083266664,-0.0193633098124945,0,-0.15413205332498,0.00940899752004133,0.193061671464141,-0.0346697396525094,0
"OLB","Devante Bond",2555307,-2.77894961919559,0.14625895175369,-2.92520857094928,0.346362644897,0.436166648747678,-0.270048880581517,-0.526335148633103,0.280458430398966,-1.84724158345214,-0.787041146282111,-0.210247088203354,-0.314805849513056,0.104558761309703,0.00494457569449841,0,0.0659042144980341,-0.323045303909611,0.124032463725259,0.00823945439655469,-0.0903224926080886
